artist,song,song_id,playlist_id,rating
Sia,"Elastic Heart - From ""The Hunger Games: Catching Fire""/Soundtrack",1dmN80e2eGVtz1cIrIaq2H,1RGcVb0M6nwlDmOJwEYGl9,1
Austin Mahone,All I Ever Need,50x8pt9ZLSXqd3dF3YJYqm,1RGcVb0M6nwlDmOJwEYGl9,1
Tyler Shaw,House of Cards,2bDtRrhdmaRM6jcJef9Lc2,1RGcVb0M6nwlDmOJwEYGl9,1
Shawn Mendes,Life Of The Party,0Ks8zrV1CH0ZCLuXNum3Wa,1RGcVb0M6nwlDmOJwEYGl9,1
Rudimental,Lay It All on Me (feat. Ed Sheeran),60hmtJmGbsAEXC0KCKMlN3,1RGcVb0M6nwlDmOJwEYGl9,1
George Ezra,Budapest,7q0aQpiLv5tIsupcgQ3Ny4,1RGcVb0M6nwlDmOJwEYGl9,1
Charlie Puth,One Call Away,2uEJanMvnA1dXgX1ASnPQm,1RGcVb0M6nwlDmOJwEYGl9,1
Alessia Cara,Here,1wYZZtamWTQAoj8B812uKQ,1RGcVb0M6nwlDmOJwEYGl9,1
Justin Bieber,Love Yourself,50kpGaPAhYJ3sGmk6vplg0,1RGcVb0M6nwlDmOJwEYGl9,1
G-Eazy,"Me, Myself & I",40YcuQysJ0KlGQTeGUosTC,1RGcVb0M6nwlDmOJwEYGl9,1
Daya,Hide Away,2hsza71y54ABzmabyNDtM4,1RGcVb0M6nwlDmOJwEYGl9,1
Travis Scott,Antidote,1wHZx0LgzFHyeIZkUydNXq,1RGcVb0M6nwlDmOJwEYGl9,1
Meghan Trainor,Like I'm Gonna Lose You (feat. John Legend),2YlZnw2ikdb837oKMKjBkW,1RGcVb0M6nwlDmOJwEYGl9,1
Imagine Dragons,I Bet My Life,15DrrIod12Tc2IoMaHiwlQ,1RGcVb0M6nwlDmOJwEYGl9,1
Future,Where Ya At (feat. Drake),5nN8BwAQDJDguq7Dpd3JQQ,1RGcVb0M6nwlDmOJwEYGl9,1
Justin Bieber,Sorry,09CtPGIpYB4BrO8qb1RGsF,1RGcVb0M6nwlDmOJwEYGl9,1
Lukas Graham,7 Years,2vDT1uU6hZgdp3PbWGr0Xy,1RGcVb0M6nwlDmOJwEYGl9,1
Shawn Mendes,I Know What You Did Last Summer,7M9t7BCy51ITF8IMyiemzk,1RGcVb0M6nwlDmOJwEYGl9,1
Twenty One Pilots,Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn,1RGcVb0M6nwlDmOJwEYGl9,1
Stephen Speaks,Out Of My League,6nr9GhZ2D1YLHanSHMHYN1,1RGcVb0M6nwlDmOJwEYGl9,1
Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),37FXw5QGFN7uwwsLy8uAc0,1RGcVb0M6nwlDmOJwEYGl9,1
Drake,Right Hand,3lSR267IJfT54p0Gfuw7mi,1RGcVb0M6nwlDmOJwEYGl9,1
Bruno Mars,The Other Side (feat. CeeLo Green and B.o.B),0HasfWMrNxTjycDy9TkRtA,1RGcVb0M6nwlDmOJwEYGl9,1
Selena Gomez,Hands To Myself,1LoriJC05IrHIDwj3q0KC1,1RGcVb0M6nwlDmOJwEYGl9,1
Drake,Summer Sixteen,17Q87zeXgsAi9iQQbMu9v0,1RGcVb0M6nwlDmOJwEYGl9,1
Coldplay,Hymn for the Weekend,3RiPr603aXAoi4GHyXx0uy,1RGcVb0M6nwlDmOJwEYGl9,1
Adele,When We Were Young,7A2eDNBgJrEVE87C8pOMqN,1RGcVb0M6nwlDmOJwEYGl9,1
BØRNS,Electric Love,2GiJYvgVaD2HtM8GqD9EgQ,1RGcVb0M6nwlDmOJwEYGl9,1
Bas,Night Job,1rgiGK1UFUSstew3z0ituh,1RGcVb0M6nwlDmOJwEYGl9,1
Ed Sheeran,Kiss Me,0Tel1fmuCxEFV6wBLXsEdk,1RGcVb0M6nwlDmOJwEYGl9,1
Ed Sheeran,Wake Me Up,0ygAYQQy7bfDN6gH640bbl,1RGcVb0M6nwlDmOJwEYGl9,1
Desiigner,Panda,275a9yzwGB6ncAW4SxY7q3,1RGcVb0M6nwlDmOJwEYGl9,1
